dataset,file,outcome,method,cost_cents,time_s,verified,dest
Calcite,352,INCONCLUSIVE,exhausted,0.0,6.1,,
Calcite,305,INCONCLUSIVE,exhausted,2.8802,242.5,,
Calcite,353,INCONCLUSIVE,exhausted,0.0,8.9,,
Calcite,355,INCONCLUSIVE,exhausted,0.0,9.6,,
Calcite,356,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/356.lean
Calcite,357,INCONCLUSIVE,exhausted,0.0,6.3,,
Calcite,360,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/360.lean
Calcite,361,INCONCLUSIVE,exhausted,0.2107,10.3,,
Calcite,362,INCONCLUSIVE,exhausted,0.0,7.8,,
Calcite,363,INCONCLUSIVE,exhausted,0.0,10.7,,
Calcite,364,PROVED,sql_equiv,0.0,4.4,yes,Bench/Calcite/Proven/364.lean
Calcite,365,INCONCLUSIVE,exhausted,0.0,8.6,,
Calcite,366,INCONCLUSIVE,exhausted,0.0,6.9,,
Calcite,367,INCONCLUSIVE,exhausted,0.0,7.1,,
Calcite,36,INCONCLUSIVE,unprovable-unverified,0.5933,39.8,,
Calcite,369,INCONCLUSIVE,exhausted,0.0,7.6,,
Calcite,37,INCONCLUSIVE,exhausted,0.0,7.7,,
Calcite,370,INCONCLUSIVE,exhausted,0.0,10.5,,
Calcite,371,INCONCLUSIVE,exhausted,0.0,11.6,,
Calcite,354,INCONCLUSIVE,unprovable-unverified,0.8946,71.0,,
Calcite,347,INCONCLUSIVE,exhausted,1.2643,89.5,,
Calcite,359,ELAB_ERROR,,0.0,66.5,,
Calcite,368,INCONCLUSIVE,unprovable-unverified,0.5153,34.0,,
Calcite,375,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/375.lean
Calcite,374,INCONCLUSIVE,exhausted,0.0,10.4,,
Calcite,376,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/376.lean
Calcite,378,INCONCLUSIVE,exhausted,0.0,6.6,,
Calcite,379,INCONCLUSIVE,exhausted,0.0,8.4,,
Calcite,373,INCONCLUSIVE,exhausted,0.2211,24.3,,
Calcite,38,PROVED,sql_equiv,0.0,4.8,yes,Bench/Calcite/Proven/38.lean
Calcite,317,INCONCLUSIVE,exhausted,2.6428,233.3,,
Calcite,381,INCONCLUSIVE,exhausted,0.0,10.3,,
Calcite,382,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/382.lean
Calcite,383,INCONCLUSIVE,exhausted,0.0,7.0,,
Calcite,386,INCONCLUSIVE,exhausted,0.0,7.5,,
Calcite,358,ELAB_ERROR,,0.0,105.7,,
Calcite,387,PROVED,sql_equiv,0.0,4.7,yes,Bench/Calcite/Proven/387.lean
Calcite,388,INCONCLUSIVE,exhausted,0.0,7.1,,
Calcite,389,INCONCLUSIVE,exhausted,0.0,6.5,,
Calcite,385,INCONCLUSIVE,exhausted,0.2119,21.6,,
Calcite,391,INCONCLUSIVE,exhausted,0.0,10.4,,
Calcite,390,INCONCLUSIVE,unprovable-unverified,0.2591,13.7,,
Calcite,39,INCONCLUSIVE,unprovable-unverified,0.2846,18.7,,
Calcite,377,ELAB_ERROR,,0.0,57.4,,
Calcite,393,INCONCLUSIVE,exhausted,0.0,7.5,,
Calcite,395,INCONCLUSIVE,exhausted,0.0,7.3,,
Calcite,4,INCONCLUSIVE,exhausted,0.0,7.5,,
Calcite,396,INCONCLUSIVE,exhausted,0.2243,13.2,,
Calcite,394,PROVED,llm,0.2242,13.0,yes,Bench/Calcite/Proven/394.lean
Calcite,380,ELAB_ERROR,,0.0,67.2,,
Calcite,397,PROVED,sql_equiv,0.0,5.6,yes(safe),Bench/Calcite/Proven/397.lean
Calcite,40,PROVED,sql_equiv,0.0,4.8,yes,Bench/Calcite/Proven/40.lean
Calcite,41,INCONCLUSIVE,exhausted,0.0,9.7,,
Calcite,43,INCONCLUSIVE,exhausted,0.0,9.7,,
Calcite,44,INCONCLUSIVE,exhausted,0.0,10.3,,
Calcite,372,ELAB_ERROR,,0.0,104.1,,
Calcite,47,INCONCLUSIVE,exhausted,0.0,9.0,,
Calcite,384,ELAB_ERROR,,0.0,76.0,,
Calcite,45,PROVED,llm,0.2417,15.5,yes,Bench/Calcite/Proven/45.lean
Calcite,48,INCONCLUSIVE,exhausted,0.0,13.1,,
Calcite,49,PROVED,sql_equiv,0.0,5.0,yes,Bench/Calcite/Proven/49.lean
Calcite,50,INCONCLUSIVE,exhausted,0.0,7.6,,
Calcite,5,INCONCLUSIVE,exhausted,0.0,10.3,,
Calcite,51,INCONCLUSIVE,exhausted,0.0,6.2,,
Calcite,52,INCONCLUSIVE,exhausted,0.0,7.4,,
Calcite,54,INCONCLUSIVE,exhausted,0.0,8.3,,
Calcite,55,INCONCLUSIVE,exhausted,0.0,8.3,,
Calcite,53,INCONCLUSIVE,unprovable-unverified,0.2972,15.6,,
Calcite,57,INCONCLUSIVE,exhausted,0.0,12.9,,
Calcite,59,INCONCLUSIVE,exhausted,0.0,7.9,,
Calcite,6,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/6.lean
Calcite,61,INCONCLUSIVE,exhausted,0.0,8.4,,
Calcite,60,INCONCLUSIVE,exhausted,0.0,10.2,,
Calcite,63,INCONCLUSIVE,exhausted,0.0,7.8,,
Calcite,64,INCONCLUSIVE,exhausted,0.0,7.1,,
Calcite,65,INCONCLUSIVE,exhausted,0.0,6.6,,
Calcite,66,INCONCLUSIVE,unprovable-unverified,0.2736,19.1,,
Calcite,46,DISPROVED(unverified-artifact),plausible_sql,0.2945,79.6,NO,
Calcite,68,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/68.lean
Calcite,42,ELAB_ERROR,,0.0,101.4,,
Calcite,56,ELAB_ERROR,,0.0,69.2,,
Calcite,7,PROVED,sql_equiv,0.0,4.4,yes,Bench/Calcite/Proven/7.lean
Calcite,69,INCONCLUSIVE,unprovable-unverified,0.2166,13.7,,
Calcite,70,INCONCLUSIVE,exhausted,0.0,9.0,,
Calcite,71,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/71.lean
Calcite,73,INCONCLUSIVE,exhausted,0.0,10.6,,
Calcite,67,INCONCLUSIVE,exhausted,0.2695,50.6,,
Calcite,75,INCONCLUSIVE,exhausted,0.0,13.2,,
Calcite,76,INCONCLUSIVE,unprovable-unverified,0.2546,15.0,,
Calcite,78,INCONCLUSIVE,exhausted,0.0,8.4,,
Calcite,77,INCONCLUSIVE,exhausted,0.0,13.7,,
Calcite,79,INCONCLUSIVE,exhausted,0.0,6.4,,
Calcite,8,PROVED,sql_equiv,0.0,4.4,yes,Bench/Calcite/Proven/8.lean
Calcite,80,INCONCLUSIVE,exhausted,0.0,12.5,,
Calcite,81,INCONCLUSIVE,unprovable-unverified,0.2129,12.1,,
Calcite,82,INCONCLUSIVE,exhausted,0.0,7.4,,
Calcite,392,INCONCLUSIVE,exhausted,2.4655,178.0,,
Calcite,72,INCONCLUSIVE,exhausted,0.2297,47.4,,
Calcite,58,INCONCLUSIVE,exhausted,1.3082,112.5,,
Calcite,84,INCONCLUSIVE,exhausted,0.0,7.0,,
Calcite,83,INCONCLUSIVE,exhausted,0.0,7.6,,
Calcite,86,INCONCLUSIVE,exhausted,0.0,7.7,,
Calcite,85,INCONCLUSIVE,exhausted,0.0,11.2,,
Calcite,88,INCONCLUSIVE,exhausted,0.0,7.4,,
Calcite,89,PROVED,sql_equiv,0.0,4.7,yes,Bench/Calcite/Proven/89.lean
Calcite,9,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/9.lean
Calcite,90,INCONCLUSIVE,exhausted,0.0,11.6,,
Calcite,93,INCONCLUSIVE,exhausted,0.0,6.3,,
